image,psnr,ssim,fsim,histSim,chi2,rsDiff,maxBytes,bpp,ber
0001.png,77.889218,0.999978,0.999989,1.000000,69.189118,0.360228,602,0.001681,0.000000
0002.png,77.828520,0.999960,0.999952,0.999999,43.895307,0.342373,812,0.001723,0.000000
0003.png,75.013361,0.999948,0.999970,0.999998,15.737019,0.374549,1130,0.003268,0.000000
0004.png,72.909563,0.999875,0.999675,0.999997,121.007604,0.683992,1827,0.005331,0.000000
0005.png,73.755591,0.999952,0.999982,0.999997,16.465814,0.269563,1811,0.004417,0.000000
0006.png,66.455359,0.999458,0.999343,0.999976,25.849125,0.564692,8146,0.023558,0.000000
0007.png,78.048751,0.999960,0.999979,0.999999,9.702195,0.174754,560,0.001620,0.000000
0008.png,74.080149,0.999938,0.999950,0.999992,531.683803,0.355520,1416,0.004095,0.000000
0009.png,75.460528,0.999940,0.999958,0.999998,310.830209,0.383616,1151,0.002962,0.000000
0010.png,70.503780,0.999850,0.999897,0.999995,16.610560,0.333822,3899,0.009301,0.000000
0011.png,74.229725,0.999953,0.999977,0.999997,93.270665,0.395343,1365,0.003948,0.000000
0012.png,67.009214,0.999595,0.999796,0.999931,24.406653,0.468837,7189,0.020791,0.000000
0013.png,78.149081,0.999976,0.999955,1.000000,5607.132384,0.798789,556,0.001594,0.000000
0014.png,78.259181,0.999983,0.999989,0.999999,23.334819,0.212090,537,0.001553,0.000000
0015.png,72.670806,0.999872,0.999914,0.999995,26.511732,0.491596,1951,0.005642,0.000000
0016.png,76.065777,0.999951,0.999969,0.999999,28.694056,0.367578,891,0.002577,0.000000
0017.png,76.986677,0.999970,0.999971,1.000000,122.402098,0.453964,723,0.002091,0.000000
0018.png,72.745394,0.999904,0.999871,0.999996,384.695174,0.568858,1925,0.005518,0.000000
0019.png,71.530678,0.999861,0.999897,0.999949,697.267523,0.294528,2859,0.007299,0.000000
0020.png,69.349630,0.999759,0.999692,0.999994,82.777291,0.481236,4300,0.012114,0.000000
0021.png,82.396803,0.999994,0.999990,1.000000,21.570720,0.546189,123,0.000628,0.000000
0022.png,75.469536,0.999954,0.999972,0.999995,21.541502,0.324111,752,0.003072,0.000000
0023.png,67.444610,0.999539,0.998515,0.999985,65.722194,0.809527,6481,0.018743,0.000000
0024.png,71.219958,0.999882,0.999874,0.999995,299.996322,0.266855,2729,0.007892,0.000000
0025.png,79.692969,0.999986,0.999991,1.000000,20.305182,0.285357,328,0.001128,0.000000
0026.png,78.379079,0.999964,0.999979,0.999999,315.486878,0.164205,597,0.001524,0.000000
0027.png,63.967950,0.998957,0.998914,0.999863,12.742281,0.550883,16447,0.041665,0.000000
0028.png,71.634823,0.999871,0.999861,0.999997,83.831437,0.465753,3625,0.007136,0.000000
0029.png,78.237137,0.999989,0.999994,1.000000,59.730013,0.127435,542,0.001567,0.000000
0030.png,72.545475,0.999879,0.999854,0.999991,32.098343,0.387498,1878,0.005790,0.000000
0031.png,73.798318,0.999932,0.999943,0.999995,362.764063,0.447993,1501,0.004341,0.000000
0032.png,73.084525,0.999874,0.999683,0.999967,65.130561,0.623009,1775,0.005133,0.000000
0033.png,67.312801,0.999664,0.999625,0.999562,229.205856,0.618298,6680,0.019319,0.000000
0034.png,76.135292,0.999972,0.999986,0.999999,54.961051,0.311423,872,0.002522,0.000000
0035.png,70.671958,0.999756,0.999741,0.999979,17.471124,0.401884,3066,0.008867,0.000000
0036.png,79.898568,0.999986,0.999979,1.000000,437.455745,0.713804,415,0.001060,0.000000
0037.png,82.372415,0.999993,0.999992,1.000000,256.989791,0.504549,208,0.000602,0.000000
0038.png,73.040671,0.999943,0.999931,0.999999,57.712295,0.385019,1614,0.005171,0.000000
0039.png,79.401904,0.999985,0.999985,0.999999,33.383575,0.489362,412,0.001192,0.000000
0040.png,81.360445,0.999985,0.999960,1.000000,22.456701,0.428738,264,0.000763,0.000000
0041.png,77.341375,0.999976,0.999983,0.999999,21.350214,0.282093,658,0.001903,0.000000
0042.png,72.088264,0.999878,0.999922,0.999994,39.763119,0.347896,2217,0.006412,0.000000
0043.png,70.535913,0.999784,0.999655,0.999990,255.223060,0.617930,3173,0.009176,0.000000
0044.png,73.050631,0.999925,0.999946,0.999997,41.806130,0.467835,2685,0.005161,0.000000
0045.png,74.069270,0.999909,0.999905,0.999989,512.029896,0.423901,1182,0.004066,0.000000
0046.png,73.748811,0.999926,0.999936,0.999997,12.622104,0.597833,1519,0.004393,0.000000
0047.png,69.981483,0.999860,0.999814,0.999983,53.261261,0.697696,3599,0.010408,0.000000
0048.png,80.522095,0.999979,0.999958,0.999998,578.855324,0.445956,318,0.000920,0.000000
0049.png,78.014990,0.999986,0.999982,1.000000,85.036443,0.647497,569,0.001646,0.000000
0050.png,73.497322,0.999929,0.999916,0.999997,153.084084,0.477522,1614,0.004668,0.000000
0051.png,78.861301,0.999967,0.999963,0.999998,127.376713,0.451765,468,0.001342,0.000000
0052.png,75.925587,0.999981,0.999990,0.999999,5.856040,0.289119,924,0.002672,0.000000
0053.png,76.788977,0.999964,0.999968,1.000000,456.488373,0.594343,750,0.002169,0.000000
0054.png,89.722876,0.999998,0.999999,1.000000,51.475383,0.154275,38,0.000112,0.000000
0055.png,72.250739,0.999862,0.999701,0.999998,139.983126,0.568638,1824,0.006209,0.000000
0056.png,76.007769,0.999951,0.999944,0.999998,71.539412,0.613741,923,0.002623,0.000000
0057.png,68.428234,0.999583,0.998745,0.999989,41.429802,0.803210,5168,0.014946,0.000000
0058.png,68.779555,0.999728,0.999595,0.999979,96.509690,0.738636,4749,0.013734,0.000000
0059.png,75.233003,0.999942,0.999941,1.000000,264.908923,0.564867,1317,0.003142,0.000000
0060.png,71.697578,0.999853,0.999907,0.999992,26.115173,0.405425,2200,0.007049,0.000000
